"Date","Price","Open","High","Low","Change %"
"Oct 09, 2014","97.690","97.810","98.310","96.950","-0.56%"
"Oct 08, 2014","98.240","98.340","98.920","97.650","-0.05%"
"Oct 07, 2014","98.290","98.260","98.850","97.590","-0.30%"
"Oct 06, 2014","98.590","98.090","98.590","98.090","0.01%"
"Oct 03, 2014","98.580","98.080","98.580","98.080","0.00%"
"Oct 02, 2014","98.580","98.080","98.580","98.080","0.00%"
"Oct 01, 2014","98.580","99.090","99.620","98.030","-0.22%"
"Sep 30, 2014","98.800","97.960","98.920","97.960","0.35%"
"Sep 29, 2014","98.455","98.160","98.545","97.610","0.64%"
"Sep 26, 2014","97.830","98.340","99.090","97.130","-0.33%"
"Sep 25, 2014","98.150","97.540","98.270","97.040","0.62%"
"Sep 24, 2014","97.545","97.650","97.675","96.980","0.04%"
"Sep 23, 2014","97.510","97.500","97.610","96.880","0.21%"
"Sep 22, 2014","97.310","97.360","97.390","96.690","0.01%"
"Sep 19, 2014","97.305","97.230","97.425","96.670","-0.47%"
"Sep 18, 2014","97.760","97.760","98.430","96.840","0.29%"
"Sep 17, 2014","97.480","97.550","98.140","96.910","-0.21%"
"Sep 16, 2014","97.690","97.630","98.320","97.120","-0.13%"
"Sep 15, 2014","97.820","97.470","98.370","96.980","0.79%"
"Sep 12, 2014","97.050","97.550","97.640","96.530","-0.45%"
"Sep 11, 2014","97.490","97.380","97.510","96.660","-0.02%"
"Sep 10, 2014","97.510","97.230","97.660","96.710","0.56%"
"Sep 09, 2014","96.970","96.690","97.050","96.150","0.47%"
"Sep 08, 2014","96.520","96.460","96.990","95.830","-0.11%"
"Sep 05, 2014","96.630","96.700","96.810","96.120","0.06%"
"Sep 04, 2014","96.570","96.740","97.280","96.070","-0.22%"
"Sep 03, 2014","96.780","97.010","97.600","96.040","0.08%"
"Sep 02, 2014","96.700","96.930","97.600","96.200","-0.15%"
"Sep 01, 2014","96.850","96.800","96.860","96.180","0.05%"
"Aug 29, 2014","96.800","96.300","96.800","96.300","0.00%"
"Aug 28, 2014","96.800","96.640","97.120","96.080","0.07%"
"Aug 27, 2014","96.730","96.770","96.820","96.130","0.03%"
"Aug 26, 2014","96.705","96.830","96.895","96.200","-0.21%"
"Aug 25, 2014","96.910","96.880","96.930","96.150","0.17%"
"Aug 22, 2014","96.750","96.780","96.900","96.120","-0.60%"
"Aug 21, 2014","97.330","97.100","97.770","96.490","0.35%"
"Aug 20, 2014","96.990","97.340","97.910","96.330","-0.10%"
"Aug 19, 2014","97.090","97.230","97.260","96.550","-0.14%"
"Aug 18, 2014","97.230","96.730","97.230","96.730","0.00%"
"Aug 15, 2014","97.230","96.730","97.230","96.730","0.00%"
"Aug 14, 2014","97.230","97.760","98.280","96.720","-0.74%"
"Aug 13, 2014","97.950","98.050","98.090","97.440","0.22%"
"Aug 12, 2014","97.735","97.870","97.955","97.220","-0.15%"
"Aug 11, 2014","97.880","97.710","98.030","97.140","-0.24%"
"Aug 08, 2014","98.120","98.580","99.280","97.310","0.16%"
"Aug 07, 2014","97.960","98.190","98.960","97.440","-0.45%"
"Aug 06, 2014","98.400","97.650","98.930","97.160","1.07%"
"Aug 05, 2014","97.360","97.500","98.100","96.610","-0.14%"
"Aug 04, 2014","97.500","97.440","98.360","96.900","-0.41%"
"Aug 01, 2014","97.900","97.180","98.400","96.610","1.04%"
"Jul 31, 2014","96.890","96.380","97.400","95.830","0.82%"
"Jul 30, 2014","96.100","96.380","96.880","95.590","-0.11%"
"Jul 29, 2014","96.210","95.710","96.210","95.710","0.00%"
"Jul 28, 2014","96.210","96.130","96.760","95.630","0.04%"
"Jul 25, 2014","96.170","96.190","96.790","95.600","-0.03%"
"Jul 24, 2014","96.200","96.020","96.210","95.480","0.05%"
"Jul 23, 2014","96.150","96.210","96.810","95.590","-0.25%"
"Jul 22, 2014","96.390","96.400","96.950","95.780","-0.10%"
"Jul 21, 2014","96.490","96.480","97.010","95.760","0.04%"
"Jul 18, 2014","96.450","96.610","97.220","95.890","0.18%"
"Jul 17, 2014","96.280","96.260","96.810","95.660","0.08%"
"Jul 16, 2014","96.200","96.370","96.930","95.650","0.00%"
"Jul 15, 2014","96.200","96.180","96.890","95.610","-0.01%"
"Jul 14, 2014","96.210","95.900","96.820","95.350","0.33%"
"Jul 11, 2014","95.890","96.480","96.980","95.370","-0.44%"
"Jul 10, 2014","96.310","95.520","96.850","94.820","0.73%"
"Jul 09, 2014","95.610","95.790","96.390","94.970","-0.04%"
"Jul 08, 2014","95.650","95.920","96.480","94.990","-0.40%"
"Jul 07, 2014","96.030","95.680","96.560","95.190","0.49%"
"Jul 04, 2014","95.560","95.580","96.210","94.930","-0.02%"
"Jul 03, 2014","95.580","95.470","96.250","94.750","0.07%"
"Jul 02, 2014","95.510","96.100","96.640","94.900","-0.63%"
"Jul 01, 2014","96.120","96.160","96.790","95.590","-0.17%"
"Jun 30, 2014","96.280","96.080","96.920","95.490","0.15%"
"Jun 27, 2014","96.140","96.130","96.730","95.610","-0.09%"
"Jun 26, 2014","96.230","96.160","96.800","95.650","0.02%"
"Jun 25, 2014","96.210","96.380","97.110","95.700","-0.05%"
